category,room_count,bathroom_count,size,type,price,city,region
Maisons et Villas,3.0,1.0,125.0,À Vendre,140000.0,Ariana,Raoued
Appartements,4.0,2.0,230.0,À Louer,1800.0,Ariana,La Soukra
Appartements,2.0,1.0,100.0,À Louer,490.0,Ariana,Ghazela
Maisons et Villas,6.0,2.0,130.0,À Vendre,210000.0,Ariana,Ariana
Appartements,1.0,1.0,64.0,À Vendre,155000.0,Ariana,Autres villes
Terrains et Fermes,,,,À Vendre,120000.0,Ariana,Raoued
Appartements,3.0,2.0,110.0,À Louer,1000.0,Ariana,Ariana
Colocations,2.0,1.0,75.0,À Louer,130.0,Ariana,Ariana
Terrains et Fermes,,,,À Vendre,55000000.0,Ariana,Raoued
Maisons et Villas,3.0,1.0,200.0,À Vendre,90000.0,Ariana,Raoued
Terrains et Fermes,,,,À Vendre,550000.0,Ariana,Ariana
Locations de vacances,1.0,1.0,50.0,À Louer,85.0,Ariana,Ennasr
Appartements,2.0,1.0,105.0,À Vendre,230000.0,Ariana,Jardins D'el Menzah
Maisons et Villas,1.0,1.0,138.0,À Vendre,80000.0,Ariana,Raoued
Locations de vacances,2.0,1.0,70.0,À Louer,90.0,Ariana,Ennasr
Maisons et Villas,2.0,1.0,103.0,À Vendre,115000.0,Ariana,Ghazela
Terrains et Fermes,,,,À Vendre,650000.0,Ariana,La Soukra
Terrains et Fermes,,,,À Vendre,708800.0,Ariana,Borj Louzir
Terrains et Fermes,,,,À Vendre,200000.0,Ariana,Raoued
Terrains et Fermes,,,,À Vendre,2250000.0,Ariana,Raoued
Terrains et Fermes,,,,À Vendre,260000.0,Ariana,Raoued
Terrains et Fermes,,,,À Vendre,500000.0,Ariana,Raoued
Terrains et Fermes,,,,À Vendre,170000.0,Ariana,
Terrains et Fermes,,,,À Vendre,400000.0,Ariana,
Terrains et Fermes,,,,À Vendre,270000.0,Ariana,
Terrains et Fermes,,,,À Vendre,250000.0,Ariana,
Terrains et Fermes,,,,À Vendre,280000.0,Ariana,
Terrains et Fermes,,,,À Vendre,350000.0,Ariana,
Terrains et Fermes,,,,À Vendre,1100000.0,Ariana,
Terrains et Fermes,,,,À Vendre,180000.0,Ariana,
Terrains et Fermes,,,,À Vendre,400000.0,Ariana,Raoued
Terrains et Fermes,,,,À Vendre,150000.0,Ariana,
Terrains et Fermes,,,,À Vendre,250000.0,Ariana,
Terrains et Fermes,,,,À Vendre,2400000.0,Ariana,
Terrains et Fermes,,,,À Vendre,220000.0,Ariana,
Terrains et Fermes,,,,À Vendre,250000.0,Ariana,
Appartements,3.0,1.0,163.0,À Vendre,340000.0,Ariana,Borj Louzir
